id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
9238,unk,unk,unk,915,915,unk,unk,3,2,1
426,801,701,801,915,915,unk,unk,2,1,1
3463,806,706,806,915,915,unk,unk,2,1,1
3599,915,806,915,915,915,unk,unk,3,1,0
9202,unk,unk,unk,915,915,unk,unk,2,unk,0
3694,915,806,915,915,915,unk,unk,3,1,1
3309,806,706,806,915,915,unk,unk,2,1,0
3549,915,806,915,915,915,unk,unk,3,1,0
3246,806,706,806,915,915,unk,unk,2,1,0
8320,915,unk,915,915,915,unk,unk,3,1,0
8286,915,unk,915,915,915,unk,unk,3,1,0
3574,806,806,806,915,915,unk,unk,3,1,0
3347,806,706,806,915,915,unk,unk,2,1,0
3697,915,806,915,915,915,unk,unk,3,unk,0
3565,915,806,915,915,915,unk,unk,3,1,1
9049,unk,unk,915,915,915,unk,unk,3,1,1
3294,806,706,806,915,915,unk,unk,2,2,0
3716,915,806,915,915,915,unk,unk,3,1,1
3436,806,706,806,915,915,unk,unk,2,1,0
3351,806,706,806,915,915,unk,unk,2,1,1
3386,806,706,806,915,915,unk,unk,2,3,0
3713,915,806,915,915,915,unk,unk,3,1,1
3494,806,706,806,915,915,unk,unk,2,3,1
2893,5,5,5,916,916,unk,unk,2,1,0
8340,916,unk,916,916,916,unk,unk,3,2,0
2552,916,802,916,916,916,unk,unk,3,1,0
2527,802,702,802,916,916,unk,unk,2,2,1
712,916,801,916,916,916,unk,unk,3,1,1
2518,802,702,802,916,916,unk,unk,2,3,0
2679,3,3,3,916,916,unk,unk,2,1,1
2887,5,5,5,916,916,unk,unk,2,1,1
2903,5,5,5,916,916,unk,unk,2,1,1
2784,916,5,916,916,916,unk,unk,3,1,0
2905,5,5,5,916,916,unk,unk,2,1,1
8357,916,unk,916,916,916,unk,unk,3,3,0
9657,unk,unk,unk,916,916,unk,unk,3,unk,0
2556,916,802,916,916,916,unk,unk,3,4,0
2875,916,5,916,916,916,unk,unk,3,1,1
2686,3,3,3,916,916,unk,unk,2,1,0
8360,916,unk,916,916,unk,unk,unk,3,unk,0
2517,802,702,802,916,916,unk,unk,2,3,0
2558,916,802,916,916,916,unk,unk,3,2,1
2467,802,702,802,916,916,unk,unk,2,unk,1
33,916,801,916,916,916,unk,unk,3,1,1
2876,916,5,916,916,916,unk,unk,3,1,0
2772,916,5,916,916,916,unk,unk,3,1,1
2684,3,3,3,916,916,unk,unk,2,1,1
8352,916,unk,916,916,916,unk,unk,3,unk,0
2707,916,3,916,916,916,unk,unk,3,1,1
2889,5,5,5,916,916,unk,unk,2,4,0
2486,802,702,802,916,916,unk,unk,2,1,1
2481,802,702,802,916,916,unk,unk,2,1,0
2466,802,702,802,916,916,unk,unk,2,3,0
9664,unk,unk,unk,916,916,unk,unk,3,3,1
2491,802,702,802,916,916,unk,unk,2,1,1
2702,3,3,3,916,916,unk,unk,2,1,0
2604,916,802,916,916,916,unk,unk,3,1,1
2540,916,802,916,916,916,unk,unk,3,1,1
2728,916,3,916,916,916,unk,unk,3,1,0
2689,3,3,3,916,916,unk,unk,2,2,1
2535,802,702,802,916,916,unk,unk,2,1,1
2785,916,5,916,916,916,unk,unk,3,1,1
2862,916,5,916,916,916,unk,unk,3,1,1
9038,unk,unk,916,916,916,unk,unk,3,1,0
2554,916,802,916,916,916,unk,unk,3,3,1
2783,916,5,916,916,916,unk,unk,3,1,1
2549,916,802,916,916,916,unk,unk,3,1,0
371,unk,801,unk,916,916,unk,unk,3,3,0
2469,802,702,802,916,916,unk,unk,2,1,0
9622,unk,unk,unk,916,916,unk,unk,2,3,0
2463,802,702,802,916,916,unk,unk,2,3,1
2564,916,802,916,916,916,unk,unk,3,unk,1
2789,916,5,916,916,916,unk,unk,3,1,0
2696,3,3,3,916,916,unk,unk,2,1,0
2854,5,5,5,916,916,unk,unk,2,1,1
2492,802,702,802,916,916,unk,unk,2,1,1
2719,916,3,916,916,916,unk,unk,3,1,0
8015,5,unk,5,916,916,unk,unk,2,1,1
2800,916,5,916,916,916,unk,unk,3,1,1
2531,802,702,802,916,916,unk,unk,2,3,1
2787,916,5,916,916,916,unk,unk,3,1,0
2603,916,802,916,916,916,unk,unk,3,1,0
2489,802,702,802,916,916,unk,unk,2,3,1
2727,916,3,916,916,916,unk,unk,3,1,1
2575,916,802,916,916,916,unk,unk,3,unk,0
2773,916,5,916,916,916,unk,unk,3,1,0
